Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:19,06-03-2026 20:58:29,4m - 10.470s,PASSED
,,,,,,,
Test Cases/Register/TC_REG_01,Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:19,06-03-2026 20:55:34,1m - 14.347s,PASSED
openBrowser(url),Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:21,06-03-2026 20:54:27,6.646s,PASSED
maximizeWindow(),Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:27,06-03-2026 20:54:28,0.594s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:28,06-03-2026 20:54:31,3.294s,PASSED
"click(findTestObject(""Register/button_Masuk""))",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:31,06-03-2026 20:54:33,1.503s,PASSED
"click(findTestObject(""Register/span_Daftar Sekarang""))",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:33,06-03-2026 20:54:35,1.980s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:35,06-03-2026 20:54:40,5.024s,PASSED
"setText(findTestObject(""Register/input__Nama Depan""), ""Devan"")",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:40,06-03-2026 20:54:41,1.132s,PASSED
"setText(findTestObject(""Register/input__Nama Belakang""), ""Putra"")",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:41,06-03-2026 20:54:42,1.069s,PASSED
rand = new java.util.Random(),Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:42,06-03-2026 20:54:42,0.019s,PASSED
"phoneNumber = ""08"" + 100000000 + rand.nextInt(900000000)",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:42,06-03-2026 20:54:42,0.019s,PASSED
"setText(findTestObject(""Register/input_Whatsapp""), phoneNumber)",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:42,06-03-2026 20:54:43,1.151s,PASSED
"setText(findTestObject(""Register/input_Email""), ""hyduziqo@fxzig.com"")",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:43,06-03-2026 20:54:44,1.249s,PASSED
"setText(findTestObject(""Register/input__Password""), password)",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:44,06-03-2026 20:54:45,1.045s,PASSED
"setText(findTestObject(""Register/input__Konfirmasi Password""), password)",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:45,06-03-2026 20:54:47,1.247s,PASSED
"click(findTestObject(""Register/Checklist TnC""))",Edge Chromium 145.0.3800.82,,,06-03-2026 20:54:47,06-03-2026 20:54:47,0.446s,PASSED
