Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:17,06-03-2026 15:58:16,1m - 58.242s,PASSED
,,,,,,,
Test Cases/Login/TC_LOG_01,Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:18,06-03-2026 15:56:40,22.117s,PASSED
openBrowser(url),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:18,06-03-2026 15:56:22,4.084s,PASSED
maximizeWindow(),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:22,06-03-2026 15:56:23,0.484s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:23,06-03-2026 15:56:26,3.189s,PASSED
"click(findTestObject(""Register/button_Masuk""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:26,06-03-2026 15:56:27,0.593s,PASSED
"setText(findTestObject(""Login/input_Nomor HP atau email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:27,06-03-2026 15:56:29,2.092s,PASSED
"click(findTestObject(""Login/button_Masuk Akun""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:29,06-03-2026 15:56:29,0.599s,PASSED
"setText(findTestObject(""Login/input_Show password""), password)",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:29,06-03-2026 15:56:30,0.994s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:30,06-03-2026 15:56:35,5.008s,PASSED
"click(findTestObject(""Login/button_Masuk Akun""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:35,06-03-2026 15:56:36,0.424s,PASSED
"if (verifyElementClickable(findTestObject(""Login/button_Masuk Akun""), OPTIONAL))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:36,06-03-2026 15:56:37,1.043s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:37,06-03-2026 15:56:40,3.021s,PASSED
,,,,,,,
Test Cases/Login/TC_LOG_02,Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:40,06-03-2026 15:56:59,19.616s,PASSED
openBrowser(url),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:40,06-03-2026 15:56:42,2.329s,PASSED
maximizeWindow(),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:42,06-03-2026 15:56:42,0.152s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:42,06-03-2026 15:56:45,3.012s,PASSED
"click(findTestObject(""Register/button_Masuk""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:45,06-03-2026 15:56:46,0.452s,PASSED
"setText(findTestObject(""Login/input_Nomor HP atau email""), ""vpriansyah@gmail.com"")",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:46,06-03-2026 15:56:48,2.103s,PASSED
"click(findTestObject(""Login/button_Masuk Akun""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:48,06-03-2026 15:56:48,0.557s,PASSED
"setText(findTestObject(""Login/input_Show password""), password)",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:48,06-03-2026 15:56:50,1.016s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:50,06-03-2026 15:56:55,5.009s,PASSED
"click(findTestObject(""Login/button_Masuk Akun""))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:55,06-03-2026 15:56:55,0.416s,PASSED
"if (verifyElementClickable(findTestObject(""Login/button_Masuk Akun""), OPTIONAL))",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:55,06-03-2026 15:56:56,0.929s,PASSED
"verifyTextPresent(""Kata sandi salah"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:56,06-03-2026 15:56:56,0.521s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 15:56:56,06-03-2026 15:56:59,3.009s,PASSED
,,,,,,,
